,MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID,mol,MFC#
32607,192.26,C12H16O2,192.26,CCCCCOc1cccc(C=O)c1,Aldlab Chemicals,0,,3-PentYl-Oxy-Benzaldehyde,MFCD01922044,1012826,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23A82B0>,10
32617,192.26,C12H16O2,192.26,COc1cc(C)c(C=O)cc1C(C)C,ChemBridge,6531894,,5-isopropyl-4-methoxy-2-methylbenzaldehyde,MFCD02629380,1560316,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23A8530>,18
32635,192.26,C12H16O2,192.26,CC(C)CCOc1ccc(C=O)cc1,"Combi-Blocks, Inc.",0,,4-(3-Methyl-butoxy)-benzaldehyde,MFCD02254125,2852807,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23A89B0>,12
32647,192.26,C12H16O2,192.26,COc1ccc(cc1C=O)C(C)(C)C,"Combi-Blocks, Inc.",0,,5-(tert-Butyl)-2-methoxybenzaldehyde,MFCD06246086,4853648,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23A8CB0>,17
32664,192.26,C12H16O2,192.26,CC(C)CCOc1cccc(C=O)c1,ChemBridge,9071441,,3-(3-methylbutoxy)benzaldehyde,MFCD09864622,18189664,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23AB130>,11
32930,193.0,C7H3Cl2FO,193.0,Fc1ccc(Cl)c(Cl)c1C=O,Alfa Aesar (US),0,,"2,3-Dichloro-6-fluorobenzaldehyde, 97%",MFCD04115870,4849462,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23B54B0>,19
32949,193.0,C7H3Cl2FO,193.0,Fc1c(Cl)ccc(Cl)c1C=O,Alfa Aesar (US),0,,"3,6-Dichloro-2-fluorobenzaldehyde, 97%",MFCD09025381,24630554,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23B5970>,17
32966,193.0,C7H3Cl2FO,193.0,Fc1cc(C=O)c(Cl)cc1Cl,HE Chemical,396418,,"2,4-Dichloro-5-fluorobenzaldehyde",MFCD01631379,31262796,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23B5DB0>,23
32989,193.0,C7H3Cl2FO,193.0,Fc1cc(Cl)cc(Cl)c1C=O,"Combi-Blocks, Inc.",0,,"2,4-Dichloro-6-fluorobenzaldehyde",MFCD12404935,31528190,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23BB3B0>,23
33012,193.0,C7H3Cl2FO,193.0,Fc1c(Cl)cc(C=O)cc1Cl,"Combi-Blocks, Inc.",0,,"3,5-Dichloro-4-fluorobenzaldehyde",MFCD11845864,36763398,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23BB970>,11
33023,193.0,C7H3Cl2FO,193.0,Fc1cc(C=O)cc(Cl)c1Cl,"Combi-Blocks, Inc.",0,,"3,4-Dichloro-5-fluorobenzaldehyde",MFCD11845917,36763503,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23BBC30>,14
33037,193.0,C7H3Cl2FO,193.0,Fc1c(Cl)c(Cl)ccc1C=O,AOBChem USA,34328,,"3,4-Dichloro-2-fluorobenzaldehyde",MFCD19686189,36770833,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23BBFB0>,11
33048,193.0,C7H3Cl2FO,193.0,Fc1ccc(Cl)c(C=O)c1Cl,"Combi-Blocks, Inc.",0,,"2,6-Dichloro-3-fluorobenzaldehyde",MFCD09835189,43469538,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23C52B0>,23
33071,193.0,C7H3Cl2FO,193.0,Fc1cc(Cl)c(C=O)c(Cl)c1,Advamacs,0,,"2,6-Dichloro-4-fluorobenzaldehyde 95+%",MFCD20526366,44391340,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23C5870>,31
33102,193.0,C7H3Cl2FO,193.0,Fc1c(Cl)ccc(C=O)c1Cl,"Combi-Blocks, Inc.",0,,"2,4-Dichloro-3-fluorobenzaldehyde",MFCD26407306,48579496,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23CE070>,10
33115,193.0,C7H3Cl2FO,193.0,Fc1ccc(C=O)c(Cl)c1Cl,HE Chemical,396414,,"2,3-Dichloro-4-fluorobenzaldehyde",MFCD24685796,49825387,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23CE3B0>,12
33135,193.0,C7H3Cl2FO,193.0,Fc1c(Cl)cc(Cl)cc1C=O,AOBChem USA,31052,,"3,5-Dichloro-2-fluorobenzaldehyde",MFCD26687657,50488857,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23CE8B0>,18
33153,193.0,C7H3Cl2FO,193.0,Fc1cc(Cl)c(Cl)cc1C=O,HE Chemical,396429,,"4,5-Dichloro-2-fluorobenzaldehyde",MFCD28785955,50488859,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23CED30>,11
