,MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID,mol,MFC#
10,120.15,C8H8O,120.15,Cc1ccccc1C=O,Alfa Aesar (US),0,,"o-Tolualdehyde, 98%, stab. with 0.1% hydroquinone",MFCD00003338,479244,<rdkit.Chem.rdchem.Mol object at 0x0000020EE06FFAF0>,32
42,120.15,C8H8O,120.15,Cc1cccc(C=O)c1,Alfa Aesar (US),0,,"m-Tolualdehyde, 97%, stab. with 0.1% hydroquinone",MFCD00003374,532075,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0704330>,36
78,120.15,C8H8O,120.15,Cc1ccc(C=O)cc1,Alfa Aesar (US),0,,"p-Tolualdehyde, 98%",MFCD00006954,532081,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0704C30>,37
160,122.12,C7H6O2,122.12,Oc1ccccc1C=O,InterBioScreen,0,,2-hydroxybenzaldehyde,MFCD00003317,475256,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0719130>,20
180,122.12,C7H6O2,122.12,Oc1ccc(C=O)cc1,InterBioScreen,0,,4-hydroxybenzaldehyde,MFCD00006939,481831,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0719630>,46
226,122.12,C7H6O2,122.12,Oc1cccc(C=O)c1,Alfa Aesar (US),0,,"3-Hydroxybenzaldehyde, 97%",MFCD00003368,519571,<rdkit.Chem.rdchem.Mol object at 0x0000020EE07241F0>,42
271,124.11,C7H5FO,124.11,Fc1ccc(C=O)cc1,Activate Scientific,0,,4-Fluorobenzaldehyde,MFCD00003378,480287,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0724D30>,36
307,124.11,C7H5FO,124.11,Fc1ccccc1C=O,Alfa Aesar (US),0,,"2-Fluorobenzaldehyde, 97%",MFCD00003302,511579,<rdkit.Chem.rdchem.Mol object at 0x0000020EE072B670>,31
338,124.11,C7H5FO,124.11,Fc1cccc(C=O)c1,InterBioScreen,0,,3-fluorobenzaldehyde,MFCD00003348,511601,<rdkit.Chem.rdchem.Mol object at 0x0000020EE1D10D70>,38
377,130.15,C9H6O,130.15,O=Cc1ccccc1C#C,EvoBlocks,0,,2-ethynylbenzaldehyde,MFCD04039985,523783,<rdkit.Chem.rdchem.Mol object at 0x0000020EE072BA30>,32
409,130.15,C9H6O,130.15,O=Cc1ccc(cc1)C#C,ChemBridge,4003406,,4-ethynylbenzaldehyde,MFCD05664348,524405,<rdkit.Chem.rdchem.Mol object at 0x0000020EE073C270>,44
453,130.15,C9H6O,130.15,O=Cc1cccc(c1)C#C,ChemBridge,4031050,,3-ethynylbenzaldehyde,MFCD06245349,3786824,<rdkit.Chem.rdchem.Mol object at 0x0000020EE073CD70>,29
483,131.13,C8H5NO,131.13,O=Cc1cccc(c1)C#N,Alinda Chemical,0,,3-formylbenzonitrile,MFCD00003344,482173,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0744530>,46
529,131.13,C8H5NO,131.13,O=Cc1ccc(cc1)C#N,Alinda Chemical,0,,4-formylbenzonitrile,MFCD00003376,494584,<rdkit.Chem.rdchem.Mol object at 0x0000020EE074F0F0>,46
575,131.13,C8H5NO,131.13,O=Cc1ccccc1C#N,Alinda Chemical,0,,2-formylbenzonitrile,MFCD00017503,500341,<rdkit.Chem.rdchem.Mol object at 0x0000020EE074FC70>,38
621,132.16,C9H8O,132.16,C=Cc1ccccc1C=O,Matrix Scientific,173038,,2-Vinylbenzaldehyde,MFCD01321324,6756802,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0758830>,15
636,132.16,C9H8O,132.16,C=Cc1ccc(C=O)cc1,Advamacs,0,,"Benzaldehyde, 4-ethenyl- 97%",MFCD00085289,11643123,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0758BF0>,17
653,132.16,C9H8O,132.16,O=Cc1ccc2CCc2c1,AstaTech,67955,,"BICYCLO[4.2.0]OCTA-1,3,5-TRIENE-3-CARBALDEHYDE",MFCD09842341,49864268,<rdkit.Chem.rdchem.Mol object at 0x0000020EE075E070>,16
766,134.18,C9H10O,134.18,Cc1ccc(C=O)c(C)c1,Alfa Aesar (US),0,,"2,4-Dimethylbenzaldehyde, 90+%",MFCD00003340,482097,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0765CF0>,34
800,134.18,C9H10O,134.18,Cc1ccc(C)c(C=O)c1,Alfa Aesar (US),0,,"2,5-Dimethylbenzaldehyde, 98%",MFCD00003342,482103,<rdkit.Chem.rdchem.Mol object at 0x0000020EE076E5B0>,22
822,134.18,C9H10O,134.18,CCc1ccc(C=O)cc1,Alfa Aesar (US),0,,"4-Ethylbenzaldehyde, 97%",MFCD00006956,490468,<rdkit.Chem.rdchem.Mol object at 0x0000020EE076EB30>,30
852,134.18,C9H10O,134.18,Cc1ccc(C=O)cc1C,EvoBlocks,0,,"3,4-dimethylbenzaldehyde",MFCD00016612,514784,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E002F0>,42
894,134.18,C9H10O,134.18,Cc1cccc(C)c1C=O,Activate Scientific,0,,"2,6-Dimethylbenzaldehyde",MFCD00128003,516283,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E00D70>,43
937,134.18,C9H10O,134.18,Cc1cccc(C=O)c1C,Activate Scientific,0,,"2,3-Dimethylbenzaldehyde",MFCD00798004,516307,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E03870>,34
971,134.18,C9H10O,134.18,Cc1cc(C)cc(C=O)c1,Alfa Aesar (US),0,,"3,5-Dimethylbenzaldehyde, 98+%",MFCD00082777,516533,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E04130>,42
1013,134.18,C9H10O,134.18,CCc1ccccc1C=O,Activate Scientific,0,,2-Ethylbenzaldehyde,MFCD02261766,516535,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E04BB0>,39
1052,134.18,C9H10O,134.18,CCc1cccc(C=O)c1,Platte Valley Scientific,0,,3-Ethylbenzaldehyde,MFCD09263482,43338598,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E075B0>,32
1153,136.15,C8H8O2,136.15,COc1ccc(C=O)cc1,Aldlab Chemicals,0,,4-Methoxybenzaldehyde,MFCD00003385,477886,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E09F30>,44
1197,136.15,C8H8O2,136.15,COc1ccccc1C=O,Alfa Aesar (US),0,,"2-Methoxybenzaldehyde, 98%",MFCD00003308,478508,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E0DA70>,43
1240,136.15,C8H8O2,136.15,COc1cccc(C=O)c1,Alfa Aesar (US),0,,"3-Methoxybenzaldehyde, 98%",MFCD00003361,480395,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E17570>,38
1278,136.15,C8H8O2,136.15,Cc1cc(C=O)ccc1O,Acros Organics,42755,,"4-Hydroxy-3-methylbenzaldehyde, 98%",MFCD00012360,497211,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E17EF0>,33
1311,136.15,C8H8O2,136.15,Cc1cccc(C=O)c1O,Acros Organics,39854,,"2-Hydroxy-3-methylbenzaldehyde, 98%",MFCD00040798,508762,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E23770>,37
1348,136.15,C8H8O2,136.15,Cc1ccc(O)c(C=O)c1,Activate Scientific,0,,2-Hydroxy-5-methylbenzaldehyde,MFCD00274297,509786,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E2E0F0>,36
1384,136.15,C8H8O2,136.15,Cc1ccc(C=O)c(O)c1,ChemBridge,4002351,,2-hydroxy-4-methylbenzaldehyde,MFCD00799550,596081,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E2E9F0>,40
1424,136.15,C8H8O2,136.15,Cc1cc(O)ccc1C=O,"Combi-Blocks, Inc.",0,,4-Hydroxy-2-methylbenzaldehyde,MFCD04037443,975184,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E3A430>,31
1455,136.15,C8H8O2,136.15,OCc1ccc(C=O)cc1,"Combi-Blocks, Inc.",0,,4-(Hydroxymethyl)benzaldehyde,MFCD11870191,10855941,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E3ABF0>,35
1490,136.15,C8H8O2,136.15,Cc1c(O)cccc1C=O,Accela ChemBio (ASD),0,,3-Hydroxy-2-methylbenzaldehyde,MFCD09999328,29542245,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E444F0>,33
1523,136.15,C8H8O2,136.15,Cc1cc(O)cc(C=O)c1,AOBChem USA,28702,,3-Hydroxy-5-methylbenzaldehyde,MFCD16999707,31262212,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E44D30>,22
1545,136.15,C8H8O2,136.15,Cc1ccc(C=O)cc1O,Key Organics/BIONET,0,,3-Hydroxy-4-methylbenzaldehyde,MFCD01632496,43445771,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E502F0>,33
1578,136.15,C8H8O2,136.15,OCc1cccc(C=O)c1,ChemShuttle,130910,,3-(hydroxymethyl)-benzaldehyde,MFCD06797524,43445974,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E50B30>,12
1590,136.15,C8H8O2,136.15,Cc1cccc(O)c1C=O,"Combi-Blocks, Inc.",0,,2-Hydroxy-6-methylbenzaldehyde,MFCD16038308,44455390,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E50E30>,30
1620,136.15,C8H8O2,136.15,Cc1ccc(O)cc1C=O,"Combi-Blocks, Inc.",0,,5-Hydroxy-2-methylbenzaldehyde,MFCD16997527,45981020,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E5B5F0>,19
1682,138.12,C7H6O3,138.12,Oc1ccc(C=O)c(O)c1,InterBioScreen,0,,"2,4-dihydroxybenzaldehyde",MFCD00011686,484950,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E675B0>,44
1726,138.12,C7H6O3,138.12,Oc1cccc(C=O)c1O,InterBioScreen,0,,"2,3-dihydroxybenzaldehyde",MFCD00003324,486855,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E6F0F0>,39
1765,138.12,C7H6O3,138.12,Oc1cc(O)cc(C=O)c1,Aldlab Chemicals,0,,"3,5-Dihydroxybenzaldehyde",MFCD00016611,501807,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E6FAB0>,28
1793,138.12,C7H6O3,138.12,Oc1ccc(O)c(C=O)c1,Alfa Aesar (US),0,,"2,5-Dihydroxybenzaldehyde, 98+%",MFCD00003333,502517,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E7A1F0>,43
1836,138.12,C7H6O3,138.12,Oc1ccc(C=O)cc1O,Vitas M Labs,0,,"3,4-dihydroxybenzaldehyde",MFCD00003370,502521,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E7ACB0>,49
1885,138.12,C7H6O3,138.12,Oc1cccc(O)c1C=O,Key Organics/BIONET,0,,"2,6-Dihydroxybenzaldehyde",MFCD08061915,43446005,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E84930>,28
1913,138.14,C8H7FO,138.14,Cc1c(F)cccc1C=O,Activate Scientific,0,,3-Fluoro-2-methylbenzaldehyde,MFCD00075256,499684,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E8F070>,36
1949,138.14,C8H7FO,138.14,Cc1cc(C=O)ccc1F,Accela ChemBio (ASD),0,,4-Fluoro-3-methylbenzaldehyde,MFCD01631431,516279,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E8F970>,34
1983,138.14,C8H7FO,138.14,Cc1ccc(F)c(C=O)c1,Activate Scientific,0,,2-Fluoro-5-methylbenzaldehyde,MFCD02093762,517012,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E98230>,38
2021,138.14,C8H7FO,138.14,Cc1ccc(C=O)cc1F,Alfa Aesar (US),0,,"3-Fluoro-4-methylbenzaldehyde, 97%",MFCD01631532,517014,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0E98BB0>,33
2054,138.14,C8H7FO,138.14,Cc1ccc(C=O)c(F)c1,Alfa Aesar (US),0,,"2-Fluoro-4-methylbenzaldehyde, 97%",MFCD03094325,911933,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EA3430>,31
2085,138.14,C8H7FO,138.14,Cc1cccc(C=O)c1F,"Combi-Blocks, Inc.",0,,2-Fluoro-3-methylbenzaldehyde,MFCD06797948,917067,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EA3BF0>,25
2110,138.14,C8H7FO,138.14,Cc1cc(F)ccc1C=O,Accela ChemBio (ASD),0,,4-Fluoro-2-methylbenzaldehyde,MFCD02261764,917214,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EAD270>,42
2152,138.14,C8H7FO,138.14,Cc1ccc(F)cc1C=O,Alfa Aesar (US),0,,"5-Fluoro-2-methylbenzaldehyde, 97%",MFCD02261763,4850123,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EADCF0>,37
2189,138.14,C8H7FO,138.14,Cc1cccc(F)c1C=O,Alfa Aesar (US),0,,"2-Fluoro-6-methylbenzaldehyde, 97%",MFCD09258962,13313074,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EB8670>,30
2228,138.14,C8H7FO,138.14,Cc1cc(F)cc(C=O)c1,Alfa Aesar (US),0,,"3-Fluoro-5-methylbenzaldehyde, 97%",MFCD03094315,300441787,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EC1070>,31
2387,140.11,C7H5FO2,140.11,Oc1c(F)cccc1C=O,Alfa Aesar (US),0,,"3-Fluorosalicylaldehyde, 98%",MFCD00003319,497356,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0ED68B0>,39
2426,140.11,C7H5FO2,140.11,Oc1ccc(F)cc1C=O,Activate Scientific,0,,5-Fluoro-2-hydroxybenzaldehyde,MFCD01090997,517352,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EDE2B0>,38
2464,140.11,C7H5FO2,140.11,Oc1ccc(C=O)cc1F,Alinda Chemical,0,,3-fluoro-4-hydroxybenzaldehyde,MFCD00016626,891857,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EDEC30>,37
2501,140.11,C7H5FO2,140.11,Oc1cccc(F)c1C=O,Alfa Aesar (US),0,,"6-Fluorosalicylaldehyde, 97%",MFCD01090996,892187,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EE65B0>,39
2540,140.11,C7H5FO2,140.11,Oc1cc(F)ccc1C=O,"Combi-Blocks, Inc.",0,,4-Fluoro-2-hydroxybenzaldehyde,MFCD03788526,912646,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EE6F70>,44
2584,140.11,C7H5FO2,140.11,Oc1ccc(C=O)c(F)c1,Activate Scientific,0,,2-Fluoro-4-hydroxybenzaldehyde,MFCD06797918,10905977,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EF0AB0>,43
2627,140.11,C7H5FO2,140.11,Oc1ccc(F)c(C=O)c1,Aldlab Chemicals,0,,2-Fluoro-5-hydroxybenzaldehyde,MFCD09038469,10905979,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EF95B0>,35
2662,140.11,C7H5FO2,140.11,Oc1cc(C=O)ccc1F,Aldlab Chemicals,0,,4-Fluoro-3-hydroxybenzaldehyde,MFCD11110190,43338602,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0EF9E70>,20
2682,140.11,C7H5FO2,140.11,Oc1cc(F)cc(C=O)c1,"Combi-Blocks, Inc.",0,,3-Fluoro-5-hydroxybenzaldehyde,MFCD13185579,43451673,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F033B0>,29
2711,140.11,C7H5FO2,140.11,Oc1cccc(C=O)c1F,"Combi-Blocks, Inc.",0,,2-Fluoro-3-hydroxybenzaldehyde,MFCD11110191,44759913,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F03AF0>,32
2743,140.57,C7H5ClO,140.57,Clc1ccc(C=O)cc1,Alfa Aesar (US),0,,"4-Chlorobenzaldehyde, 98%",MFCD00003379,478769,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F0B330>,32
2775,140.57,C7H5ClO,140.57,Clc1ccccc1C=O,InterBioScreen,0,,2-chlorobenzaldehyde,MFCD00003304,479793,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F0BB30>,22
2797,140.57,C7H5ClO,140.57,Clc1cccc(C=O)c1,Alfa Aesar (US),0,,"3-Chlorobenzaldehyde, 97%",MFCD00003350,490551,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F150F0>,35
2835,142.1,C7H4F2O,142.1,Fc1cccc(C=O)c1F,Activate Scientific,0,,"2,3-Difluorobenzaldehyde",MFCD00010292,493219,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F15A70>,39
2874,142.1,C7H4F2O,142.1,Fc1cccc(F)c1C=O,Activate Scientific,0,,"2,6-Difluorobenzaldehyde",MFCD00010293,493221,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F1E470>,40
2914,142.1,C7H4F2O,142.1,Fc1ccc(C=O)cc1F,Alfa Aesar (US),0,,"3,4-Difluorobenzaldehyde, 98%",MFCD00010328,493223,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F1EE70>,44
2958,142.1,C7H4F2O,142.1,Fc1ccc(C=O)c(F)c1,Activate Scientific,0,,"2,4-Difluorobenzaldehyde",MFCD00010326,493225,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F289B0>,35
2993,142.1,C7H4F2O,142.1,Fc1ccc(F)c(C=O)c1,InterBioScreen,0,,"2,5-difluorobenzaldehyde",MFCD00010327,493227,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F302B0>,35
3028,142.1,C7H4F2O,142.1,Fc1cc(F)cc(C=O)c1,Alfa Aesar (US),0,,"3,5-Difluorobenzaldehyde, 97%",MFCD00010329,495082,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F30B70>,41
3079,145.16,C9H7NO,145.16,O=Cc1ccc2[nH]ccc2c1,InterBioScreen,0,,1H-indole-5-carbaldehyde,MFCD02093664,516150,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F3A7F0>,51
3130,145.16,C9H7NO,145.16,O=Cc1cccc2cc[nH]c12,Chem-Impex,22042,,Indole-7-carboxaldehyde,MFCD01318152,518565,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F3E4F0>,37
3167,145.16,C9H7NO,145.16,O=Cc1ccc2cc[nH]c2c1,InterBioScreen,0,,1H-indole-6-carbaldehyde,MFCD02179596,525251,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F3EE30>,39
3206,145.16,C9H7NO,145.16,O=Cc1cccc2[nH]ccc12,InterBioScreen,0,,1H-indole-4-carbaldehyde,MFCD01632221,525253,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F41830>,47
3253,145.16,C9H7NO,145.16,Cc1ccc(C=O)cc1C#N,Alinda Chemical,0,,5-formyl-2-methylbenzonitrile,MFCD12197728,29817651,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F42430>,16
3285,145.16,C9H7NO,145.16,Cc1cc(ccc1C=O)C#N,"Combi-Blocks, Inc.",0,,4-Formyl-3-methylbenzonitrile,MFCD18394297,45981042,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F42C30>,25
3310,145.16,C9H7NO,145.16,Cc1cccc(C=O)c1C#N,HE Chemical,33337,,2-Cyano-3-methylbenzaldehyde,MFCD16659619,48577533,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F4C2B0>,12
3322,145.16,C9H7NO,145.16,Cc1cc(C=O)ccc1C#N,"Combi-Blocks, Inc.",0,,4-Formyl-2-methylbenzonitrile,MFCD18394298,49861661,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F4C5B0>,13
3335,145.16,C9H7NO,145.16,Cc1ccc(C=O)c(c1)C#N,Key Organics/BIONET,0,,2-Formyl-5-methylbenzonitrile,MFCD18394293,50286647,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F4C8F0>,22
3373,146.15,C9H6O2,146.15,O=Cc1ccc2occc2c1,Maybridge,0,,1-benzofuran-5-carbaldehyde,MFCD03411182,720110,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F572B0>,31
3404,146.15,C9H6O2,146.15,O=Cc1cccc2ccoc12,Aldlab Chemicals,0,,benzofuran-7-carbaldehyde,MFCD08272125,30781584,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F57A70>,24
3428,146.15,C9H6O2,146.15,O=Cc1cccc2occc12,"Combi-Blocks, Inc.",0,,4-Benzofurancarboxaldehyde,MFCD10699414,33511322,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F630B0>,16
3444,146.15,C9H6O2,146.15,O=Cc1ccc2ccoc2c1,Toronto Research Chemicals,0,,Benzofuran-6-carbaldehyde,MFCD09038098,33511822,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F634B0>,14
3467,146.15,C8H6N2O,146.15,O=Cc1ccc2[nH]ncc2c1,Chem-Impex,17606,,1H-Indazole-5-carbaldehyde,MFCD06738280,2728338,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F63A70>,27
3494,146.15,C8H6N2O,146.15,O=Cc1ccc2[nH]cnc2c1,"Combi-Blocks, Inc.",0,,1H-Benzimidazole-5-carbaldehyde,MFCD08741423,5849667,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F6D170>,29
3523,146.15,C8H6N2O,146.15,O=Cc1ccc2cn[nH]c2c1,Sinova,0,,1H-indazole-6-cabaldehyde,MFCD06738282,14091315,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F6D8B0>,36
3559,146.15,C8H6N2O,146.15,O=Cc1cccc2[nH]ncc12,Frontier Scientific (Logan),0,,4-Formylindazole,MFCD06738279,28298772,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F791F0>,39
3598,146.15,C8H6N2O,146.15,O=Cc1cccc2cn[nH]c12,Chem-Impex,18506,,1H-Indazole-7-carbaldehyde,MFCD06738281,30156841,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F79BB0>,20
3653,146.19,C10H10O,146.19,O=Cc1ccccc1C1CC1,AOBChem USA,24818,,2-Cyclopropylbenzaldehyde,MFCD00480888,819401,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F849B0>,26
3679,146.19,C10H10O,146.19,O=Cc1ccc2CCCc2c1,Bio-Farma,0,,"2,3-dihydro-1H-indene-5-carbaldehyde",MFCD00086208,4353590,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F8C070>,27
3706,146.19,C10H10O,146.19,O=Cc1ccc(cc1)C1CC1,AstaTech,33489,,4-CYCLOPROPYLBENZALDEHYDE,MFCD06802398,37036169,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F8C730>,30
3736,146.19,C10H10O,146.19,O=Cc1cccc(c1)C1CC1,ACS Scientific,12,,3-cyclopropylbenzaldehyde,MFCD06802399,37036171,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F8CEB0>,12
3748,146.19,C10H10O,146.19,O=Cc1cccc2CCCc12,Activate Scientific,0,,"2,3-Dihydro-1H-indene-4-carbaldehyde",MFCD18808942,70144114,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F8D1F0>,11
3774,146.19,C10H10O,146.19,C=CCc1ccccc1C=O,Enamine - UA Stock,0,,2-(prop-2-en-1-yl)benzaldehyde,MFCD18824313,207615902,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F8D870>,12
3788,147.13,C8H5NO2,147.13,Oc1cc(ccc1C=O)C#N,Advamacs,0,,4-Formyl-3-hydroxybenzonitrile 98%,MFCD08361770,34103,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F8DBF0>,20
3808,147.13,C8H5NO2,147.13,Oc1ccc(cc1C=O)C#N,Accela ChemBio (ASD),0,,3-Formyl-4-hydroxybenzonitrile,MFCD09839541,36762000,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F92130>,19
3827,147.13,C8H5NO2,147.13,O=Cc1ccc2ocnc2c1,BetaPharma,86,,5-Benzoxazolecarboxaldehyde,MFCD20527251,43481371,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F925F0>,26
3853,147.13,C8H5NO2,147.13,O=Cc1ccc2ncoc2c1,Aldlab Chemicals,0,,Benzo[d]oxazole-6-carbaldehyde,MFCD11040758,44391346,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F92C70>,24
3901,147.13,C8H5NO2,147.13,Oc1ccc(C=O)cc1C#N,ChemScene,0,,3-Cyano-4-hydroxybenzaldehyde,MFCD16999751,49435216,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0F9C8B0>,19
3952,148.12,C7H4N2O2,148.12,O=Cc1ccc2nonc2c1,Alinda Chemical,0,,"2,1,3-benzoxadiazole-5-carbaldehyde",MFCD01200350,720186,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FA75B0>,33
3985,148.12,C7H4N2O2,148.12,O=Cc1cccc2nonc12,Aldlab Chemicals,0,,"Benzo[c][1,2,5]oxadiazole-4-carbaldehyde",MFCD07772900,11642440,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FA7DF0>,29
4031,148.14,C9H5FO,148.14,Fc1ccc(C#C)c(C=O)c1,"Combi-Blocks, Inc.",0,,2-Ethynyl-5-fluorobenzaldehyde,MFCD24674725,46574449,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FAF9B0>,10
4041,148.14,C9H5FO,148.14,Fc1ccc(C=O)c(c1)C#C,"Combi-Blocks, Inc.",0,,2-Ethynyl-4-fluorobenzaldehyde,MFCD18824363,81805371,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FAFC30>,20
4075,148.16,C9H8O2,148.16,CC(=O)c1ccc(C=O)cc1,HE Chemical,2458993,,4'-Formylacetophenone,MFCD02093689,516383,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FB94F0>,19
4094,148.16,C9H8O2,148.16,CC(=O)c1cccc(C=O)c1,"Combi-Blocks, Inc.",0,,3-Acetylbenzaldehyde,MFCD05865161,521721,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FB99B0>,10
4109,148.16,C9H8O2,148.16,O=Cc1ccc2OCCc2c1,Frontier Scientific (Logan),0,,"2,3-Dihydro-1-benzofuran-5-carboxaldehyde",MFCD00068058,525213,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FB9D70>,44
4153,148.16,C9H8O2,148.16,O=Cc1cccc2CCOc12,Maybridge,0,,"2,3-dihydro-1-benzofuran-7-carbaldehyde",MFCD06200853,724854,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FBD8B0>,29
4194,148.16,C9H8O2,148.16,O=Cc1cccc2OCCc12,Key Organics/BIONET,0,,"2,3-Dihydrobenzofuran-4-carbaldehyde",MFCD03426203,36760300,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FC0330>,27
4221,148.16,C9H8O2,148.16,O=Cc1ccc2COCc2c1,"Combi-Blocks, Inc.",0,,"1,3-Dihydro-2-benzofuran-5-carbaldehyde",MFCD09842492,37896192,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FC09F0>,19
4240,148.16,C9H8O2,148.16,O=Cc1ccc2CCOc2c1,Enamine - UA Backorder,0,,"2,3-dihydro-1-benzofuran-6-carbaldehyde",MFCD16658153,49264452,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FC0EB0>,10
4275,148.21,C10H12O,148.21,CC(C)c1ccc(C=O)cc1,Alfa Aesar (US),0,,"4-Isopropylbenzaldehyde, tech. 90%",MFCD00006953,480952,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0FC17B0>,28
